:=,"['a.('a) ref * 'a -> unit]",2,,

=,"[''a.''a * ''a -> bool]",2,Equal,
addInt,"int * int -> int",2,AddInt,
addReal,"real * real -> real",2,AddReal,
addWord,"word * word -> word",2,AddWord,
addByte,"byte * byte -> byte",2,AddByte,
subInt,"int * int -> int",2,SubInt,
subReal,"real * real -> real",2,SubReal,
subWord,"word * word -> word",2,SubWord,
subByte,"byte * byte -> byte",2,SubByte,
mulInt,"int * int -> int",2,MulInt,
mulReal,"real * real -> real",2,MulReal,
mulWord,"word * word -> word",2,MulWord,
mulByte,"byte * byte -> byte",2,MulByte,
divInt,"int * int -> int",2,DivInt,
divWord,"word * word -> word",2,DivWord,
divByte,"byte * byte -> byte",2,DivByte,
/,"real * real -> real",2,DivReal,
modInt,"int * int -> int",2,ModInt,
modWord,"word * word -> word",2,ModWord,
modByte,"byte * byte -> byte",2,ModByte,
quotInt,"int * int -> int",2,QuotInt,
remInt,"int * int -> int",2,RemInt,
negInt,"int -> int",1,NegInt,
negReal,"real -> real",1,NegReal,
absInt,"int -> int",1,AbsInt,
absReal,"real-> real",1,AbsReal,

ltInt,"int * int -> bool",2,LtInt,
ltReal,"real * real -> bool",2,LtReal,
ltWord,"word * word -> bool",2,LtWord,
ltByte,"byte * byte -> bool",2,LtByte,
ltChar,"char * char -> bool",2,LtChar,
ltString,"string * string -> bool",2,LtString,
gtInt,"int * int -> bool",2,GtInt,
gtReal,"real * real -> bool",2,GtReal,
gtWord,"word * word -> bool",2,GtWord,
gtByte,"byte * byte -> bool",2,GtByte,
gtChar,"char * char -> bool",2,GtChar,
gtString,"string * string -> bool",2,GtString,
lteqInt,"int * int -> bool",2,LteqInt,
lteqReal,"real * real -> bool",2,LteqReal,
lteqWord,"word * word -> bool",2,LteqWord,
lteqByte,"byte * byte -> bool",2,LteqByte,
lteqChar,"char * char -> bool",2,LteqChar,
lteqString,"string * string -> bool",2,LteqString,
gteqInt,"int * int -> bool",2,GteqInt,
gteqReal,"real * real -> bool",2,GteqReal,
gteqWord,"word * word -> bool",2,GteqWord,
gteqByte,"byte * byte -> bool",2,GteqByte,
gteqChar,"char * char -> bool",2,GteqChar,
gteqString,"string * string -> bool",2,GteqString,

Word_toIntX,"word -> int",1,Word_toIntX,
Word_fromInt,"int -> word",1,Word_fromInt,
Word_andb,"word * word -> word",2,Word_andb,
Word_orb,"word * word -> word",2,Word_orb,
Word_xorb,"word * word -> word",2,Word_xorb,
Word_notb,"word -> word",1,Word_notb,
Word_leftShift,"word * word -> word",2,Word_leftShift,
